NAME_a,NAME_b,F0,ZZ,XX,YY,DISC_DATE,R_LUM,R_LUM14
J1730-2900,lfl+06 ,0.65001470845,10,lfl+06 ,0.59,-0.39,-3.54,2006,,18.91
B1727-33,jlm+92 ,7.1705039813,9,hlk+04 ,0.01,-0.36,5.03,1992,112.06,52.37
J1730-3353,hfs+04 ,0.30578778579,4,hfs+04 ,-0.00,-0.35,5.06,2004,,4.55
J1730-34,ncb+15 ,10.017073,16,ncb+15 ,-0.03,-0.53,3.96,2015,,0.63
J1731-1847,kjv+10 ,426.51934403983,2,nbb+14 ,0.68,0.57,3.80,2010,,8.45
J1731-3123,hfs+04 ,1.32793661839,5,hfs+04 ,0.17,-0.47,1.35,2004,,14.91
J1731-3322,ncb+15 ,1.83597223158,14,ncb+15 ,0.02,-0.52,2.98,2015,,3.07
B1727-47,lvw68 ,1.20506786194,6,wmp+00 ,-0.74,-1.65,3.26,1968,5831.40,828.67
J1732-1930,lml+98 ,2.06709800946,3,hlk+04 ,0.35,0.29,5.91,1998,76.09,2.08
J1732-3131,aaa+09c ,5.0879411200,5,rkp+11 ,0.01,-0.04,7.86,2009,,
J1732-3426,lfl+06 ,3.0040252844,3,lfl+06 ,-0.04,-0.47,4.19,2006,,4.52
J1732-35,ncb+15 ,7.8932829065,4,ncb+15 ,-0.07,-0.47,4.48,2015,,2.13
J1732-3729,kbm+03 ,0.45787517546,4,kbm+03 ,-0.42,-1.65,-2.30,2003,,37.03
B1729-41,mlt+78 ,1.5924056660,8,nmc81 ,-0.56,-1.50,1.45,1978,470.46,57.50
J1732-4156,hfs+04 ,3.09182036197,12,hfs+04 ,-0.95,-2.47,-2.72,2004,,29.25
J1732-5049,eb01b ,188.233512213289,4,rhc+16 ,-0.31,-0.63,6.77,2001,,5.94
B1730-22,dls73 ,1.147206256861,3,hlk+04 ,0.11,0.08,7.41,1973,30.25,4.84
J1733-2533,lfl+06 ,1.51562424828,9,lfl+06 ,0.86,0.30,-3.50,2006,,14.47
J1733-2837,lfl+06 ,1.30177050713,9,lfl+06 ,0.20,-0.09,3.77,2006,,1.57
J1733-3030,hfs+04 ,2.76203446627,10,hfs+04 ,0.47,-0.96,-12.05,2004,,84.71
J1733-3322,mhl+02 ,0.80262320764,5,mhl+02 ,-0.02,-0.38,4.28,2002,,14.38
B1730-37,jlm+92 ,2.9621405983,1,lwy+16 ,-0.13,-0.46,5.39,1992,,35.72
J1733-4005,hfs+04 ,1.78006154428,4,hfs+04 ,-1.30,-3.57,-10.31,2004,,180.45
J1733-5515,bbb+12 ,0.988891255,8,bbb+12 ,-0.86,-1.67,4.72,2012,,5.34
B1732-02,dtws85 ,1.191335192834,12,hlk+04 ,0.49,0.65,6.89,1985,18.47,
J1734-2415,lfl+06 ,1.6325897834,3,lfl+06 ,0.27,0.16,5.07,2006,,3.43
J1734-3058,ncb+15 ,1.847453268395,18,ncb+15 ,0.06,-0.19,4.77,2015,,1.54
J1734-3333,mhl+02 ,0.855182765,3,elk+11 ,-0.03,-0.40,4.06,2002,,9.75
J1735-0243,blr+13 ,1.2773235857,9,blr+13 ,0.27,0.35,7.60,2013,,
B1732-07,ll76 ,2.384728392905,6,hlk+04 ,0.05,0.06,8.30,1976,0.79,0.10
J1735-3258,mhl+02 ,2.8493013402,10,mhl+02 ,-0.03,-0.39,3.55,2002,,8.65
J1736+05,cnst96 ,1.000756,4,cnst96 ,0.82,1.16,6.46,1996,,
J1736-2457,lfl+06 ,0.378469127638,19,lfl+06 ,0.30,0.18,4.01,2006,,17.01
J1736-2819,hfs+04 ,0.62797523670,5,hfs+04 ,0.21,-0.06,2.47,2004,,5.82
J1736-2843,hfs+04 ,0.15515816927,4,hfs+04 ,0.32,-0.16,-1.87,2004,,46.33
J1736-3511,kbm+03 ,1.9888513628,6,kbm+03 ,-0.07,-0.29,5.89,2003,,1.25
J1737-0811,blr+13 ,239.51996484444,5,blr+13 ,0.04,0.06,8.30,2013,,
J1737-3102,mhl+02 ,1.30094454375,8,mhl+02 ,0.02,-0.17,4.90,2002,,7.78
J1737-3137,mhl+02 ,2.2200891113,3,mhl+02 ,0.01,-0.24,4.35,2002,,15.23
J1737-3320,hfs+04 ,1.22508021431,9,hfs+04 ,-0.18,-1.09,-4.74,2004,,61.82
B1734-35,jlm+92 ,2.515187036101,19,jml+95 ,-0.10,-0.30,6.03,1992,,6.20
J1738+0333,jac05 ,170.93736991146392,3,fwe+12 ,0.45,0.65,7.26,2005,,1.45
J1738+04,dsm+16 ,0.718499,0,dsm+16 ,0.34,0.49,7.60,2016,,
J1738-2330,lfl+06 ,0.505344668829,9,lfl+06 ,0.21,0.19,5.64,2006,,8.65
J1738-2647,hfs+04 ,2.8604856126,4,hfs+04 ,0.18,0.07,4.37,2004,,7.51
J1738-2736,ncb+15 ,1.59307834609,5,ncb+15 ,0.43,0.06,-3.47,2015,,24.40
J1738-2955,mhl+02 ,2.2553100166,17,mhl+02 ,0.04,-0.10,5.04,2002,,2.87
J1738-3107,hfs+04 ,1.8198438376,4,hfs+04 ,0.01,-0.22,3.72,2004,,5.97
B1735-32,cjlm87 ,1.301237959897,4,hlk+04 ,-0.01,-0.08,7.23,1987,4.68,3.87
J1738-3316,hfs+04 ,1.36916434411,8,hfs+04 ,-0.07,-0.29,4.76,2004,,7.73
J1739+0612,jbo+09 ,4.27041943171,6,jbo+09 ,8.08,11.92,-11.93,2009,,500.00
J1739-1313,ebvb01 ,0.822572972756,7,ebvb01 ,0.12,0.16,7.80,2001,,0.48
J1739-2521,cbmp17 ,0.54991550214,8,jcs+17 ,0.23,0.18,4.10,2017,,
B1736-29,cl86 ,3.09710254134,8,hlk+04 ,0.05,-0.04,5.59,1986,,38.11
J1739-3023,mhl+02 ,8.743709745,3,mhl+02 ,0.02,-0.10,5.43,2002,,9.52
J1739-3049,mhl+02 ,4.1785550317,3,mhl+02 ,0.01,-0.18,4.12,2002,,9.59
B1736-31,cl86 ,1.8887846273,5,hlk+04 ,-0.02,-0.22,4.10,1986,,120.58
J1739-3159,mhl+02 ,1.13952161704,19,mhl+02 ,-0.04,-0.22,4.71,2002,,20.22
J1739-3951,lfl+06 ,2.92592314444,8,lfl+06 ,-0.06,-0.13,7.73,2006,,0.07
J1740+1000,mca00 ,6.48983281353,9,mac+02 ,0.43,0.65,7.54,2000,4.69,1.36
B1737+13,mlt+78 ,1.245252064335,5,hlk+04 ,1.54,2.34,5.40,1978,419.34,36.69
J1740-2540,hfs+04 ,0.59078737729,3,hfs+04 ,0.69,0.58,-6.51,2004,,36.19
B1737-30,cl86 ,1.6477542263,1,ywml10 ,0.00,-0.01,8.10,1986,3.94,1.42
J1740-3052,sml+01 ,1.753421854445,10,msk+12 ,-0.01,-0.18,3.75,2001,,15.79
J1740-3327,hfs+04 ,1.94174509793,5,hfs+04 ,-0.11,-0.32,4.31,2004,,5.29
J1740-5340A,dlm+01 ,273.9479176156,8,dpm+01 ,-0.46,-0.80,6.50,2001,,
B1738-08,mlt+78 ,0.4894565052369,13,hlk+04 ,0.04,0.06,8.29,1978,1.40,0.07
J1741+1351,jbo+07 ,266.8691669720664,5,abb+18 ,0.40,0.61,7.71,2007,,1.08
J1741-2019,ebvb01 ,0.256114322143,9,ebvb01 ,0.24,0.30,5.98,2001,,
J1741-2054,aaa+09c ,2.417209833,1,rkp+11 ,0.03,0.03,8.20,2009,,0.01
J1741-2719,lfl+06 ,2.88353187692,15,lfl+06 ,0.32,0.18,-3.00,2006,,26.50
J1741-2733,mhl+02 ,1.11987265911,7,mhl+02 ,0.08,0.03,5.43,2002,,16.96
J1741+2758,fcwa95 ,0.7348954975,3,lwf+04 ,1.13,1.78,7.12,1995,19.05,
J1741-2945,mhl+02 ,4.4731155537,3,mhl+02 ,0.02,-0.08,4.79,2002,,8.26
J1741-3016,mhl+02 ,0.52805316951,5,mhl+02 ,0.01,-0.11,4.63,2002,,29.95
J1741-34,ncb+15 ,1.142678,3,ncb+15 ,-0.17,-0.40,3.96,2015,,4.16
B1737-39,mlt+78 ,1.95231890176,4,wmz+01 ,-0.38,-0.76,3.96,1978,747.05,117.39
J1742-3957,lfl+06 ,0.9839138013,3,lfl+06 ,-0.72,-1.36,0.60,2006,,9.07
J1742-4616,ebvb01 ,2.42482410446,5,ebvb01 ,-0.84,-1.48,3.07,2001,,48.56
B1740-03,mlt+78 ,2.2489846054,5,hlk+04 ,0.05,0.07,8.32,1978,0.12,0.02
J1743+05,dsm+16 ,0.678596,0,dsm+16 ,1.20,1.88,5.24,2016,,
B1740-13,stwd85 ,2.46708325869,6,hlk+04 ,0.50,0.76,5.12,1985,74.72,6.12
J1743-2442,hfs+04 ,0.80482359167,7,hfs+04 ,0.30,0.38,2.03,2004,,5.90
B1740-31,jlm+92 ,0.414151469577,10,hlk+04 ,-0.07,-0.16,5.17,1992,73.19,23.29
J1743-3153,mhl+02 ,5.17851909036,17,mhl+02 ,-0.17,-0.43,-0.35,2002,,47.10
J1743-35,ncb+15 ,1.75445,3,ncb+15 ,-0.21,-0.41,4.52,2015,,0.80
J1743-4212,ebvb01 ,3.266191456470,18,ebvb01 ,-0.56,-1.00,3.62,2001,,47.69
J1744-1134,bjb+97 ,245.4261197130557,4,rhc+16 ,0.06,0.10,8.12,1997,2.81,2.03
J1744-1610,ebvb01 ,0.569085283487,6,ebvb01 ,0.23,0.36,6.63,2001,,
J1744-2335,lml+98 ,0.593998234019,8,dsb+98 ,0.14,0.21,5.79,1998,118.37,1.48
J1744-3130,mhl+02 ,0.93803273991,3,mhl+02 ,-0.06,-0.14,5.20,2002,,7.62
J1744-3922,fsk+04 ,5.79897187841,7,fsk+04 ,-0.41,-0.71,4.04,2004,,2.27
J1744-5337,bbb+12 ,2.811627834,7,bbb+12 ,-1.89,-3.15,0.51,2012,,30.91
J1744-7619,cpw+18 ,213.33223675351,5,cpw+18 ,-0.00,-0.00,8.50,2018,,
J1745-0129,ebvb01 ,0.956565374184,17,ebvb01 ,1.33,2.15,3.63,2001,,
J1745-0952,eb01b ,51.609431233273,5,jsb+10 ,0.04,0.06,8.28,2001,0.10,0.02
J1745+1017,bgc+13 ,377.05547013813,5,bgc+13 ,0.40,0.65,7.56,2013,,
J1745-2229,hfs+04 ,0.861628837956,14,hfs+04 ,0.93,1.48,-6.95,2004,,31.43
J1745-2900,mgz+13 ,0.2656936554,12,laks15 ,-0.01,-0.01,0.20,2013,,
J1745-2910,dcl09 ,1.018330,0,dcl09 ,-0.01,-0.03,0.53,2009,,
J1745-2912,jkl+06 ,5.336766,6,jkl+06 ,-0.02,-0.03,0.39,2006,,
B1742-30,kac+73 ,2.72158867832,8,lwy+16 ,-0.00,-0.01,8.30,1973,2.64,0.84
J1745-3812,bbb+12 ,1.4319408595,5,bbb+12 ,-0.40,-0.66,3.76,2012,,4.61
J1746+2245,clm+05 ,0.288597141714,5,clm+05 ,2.78,4.58,4.27,2005,58.78,
J1746+2540,fcwa95 ,0.94504723258,9,lwf+04 ,10.58,17.42,-5.98,1995,750.00,
J1746-27,ncb+15 ,2.0511658870,4,ncb+15 ,0.04,0.07,4.35,2015,,2.58
J1746-2849,dcl09 ,0.6763701556,10,dcl09 ,-0.00,0.02,0.28,2009,,27.03
J1746-2850,dcl09 ,0.9284176174,4,dcl09 ,-0.00,0.01,2.89,2009,,25.18
J1746-2856,jkl+06 ,1.057949931,4,jkl+06 ,-0.03,0.02,0.35,2006,,
J1746-3239,pga+12 ,5.01149235750,3,pga+12 ,-0.00,-0.00,8.50,2012,,
J1747-1030,bbb+12 ,0.63339530289,9,bbb+12 ,0.39,0.69,6.12,2012,,
J1747-2647,kel+09 ,1.99898269975,7,kel+09 ,0.08,0.22,2.31,2009,,59.01
J1747-2802,mhl+02 ,0.35970198286,10,mhl+02 ,0.01,0.09,3.35,2002,,13.26
J1747-2809,crgl09 ,19.1744057,8,crgl09 ,0.01,0.12,0.36,2009,,
J1747-2958,cmgl02 ,10.1200258870,2,gvc+04 ,-0.04,-0.03,5.98,2002,,1.59
J1747-4036,kcj+12 ,607.67753858098,4,abb+18 ,-0.80,-1.21,1.50,2012,,46.01
B1745-12,mlt+78 ,2.537212363771,9,hlk+04 ,0.32,0.58,6.19,1978,132.48,11.52
B1745-20A,mlj+89b ,3.464969947246,19,frb+08 ,0.55,1.11,0.35,1989,678.98,25.12
J1748-2021B,frb+08 ,59.665418222544,17,frb+08 ,0.55,1.11,0.35,2008,,
J1748-2021C,frb+08 ,160.59270990836,6,frb+08 ,0.55,1.10,0.35,2008,,
J1748-2021D,frb+08 ,74.097014488305,13,frb+08 ,0.55,1.11,0.35,2008,,
J1748-2021E,frb+08 ,61.48547652886,2,frb+08 ,0.55,1.11,0.35,2008,,
J1748-2021F,frb+08 ,263.5998326931,2,frb+08 ,0.55,1.11,0.35,2008,,
J1748-2444,lmd+90 ,2.25815958180,3,hlk+04 ,0.10,0.26,4.67,1990,,5.01
B1744-24A,lmd+90 ,86.4816368591,3,lmbm00 ,0.16,0.37,3.01,1990,,18.45
J1748-2446aa,fre08 ,172.770057,0,fre08 ,0.16,0.37,3.01,2008,,
J1748-2446ab,fre08 ,195.323563,0,fre08 ,0.16,0.37,3.01,2008,,
J1748-2446ac,fre08 ,196.582994,0,fre08 ,0.16,0.37,3.01,2008,,
J1748-2446ad,hrs+06 ,716.35556,4,hrs+06 ,0.16,0.37,3.01,2006,,
J1748-2446ae,fre08 ,273.329343,0,fre08 ,0.13,0.29,4.11,2008,,
J1748-2446af,fre08 ,302.632296,0,fre08 ,0.16,0.37,3.01,2008,,
J1748-2446ag,fre08 ,224.818628,0,fre08 ,0.16,0.37,3.01,2008,,
J1748-2446ah,fre08 ,201.403784,0,fre08 ,0.16,0.37,3.01,2008,,
J1748-2446ai,fre08 ,47.106750,0,fre08 ,0.16,0.37,3.01,2008,,
J1748-2446aj,crf+18 ,337.96234149929,4,crf+18 ,0.13,0.29,4.11,2018,,0.66
J1748-2446ak,crf+18 ,529.07066473956,4,crf+18 ,0.13,0.29,4.13,2018,,0.58
J1748-2446al,crf+18 ,0.168067,0,crf+18 ,0.13,0.29,4.11,2018,,0.15
J1748-2446C,lmbm00 ,118.5382530563,15,lmbm00 ,0.16,0.37,3.01,2000,,
J1748-2446D,rhs+05 ,212.134969,0,rhs+05 ,0.26,0.58,-0.18,2005,,
J1748-2446E,rhs+05 ,455.000455,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446F,rhs+05 ,180.500854,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446G,rhs+05 ,46.142765,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446H,rhs+05 ,203.008999,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446I,rhs+05 ,104.491133,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446J,rhs+05 ,12.447421,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446K,rhs+05 ,336.740020,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446L,rhs+05 ,445.493830,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446M,rhs+05 ,280.145788,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446N,rhs+05 ,115.381509,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446O,rhs+05 ,596.434514,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446P,rhs+05 ,578.496141,0,rhs+05 ,0.13,0.29,4.11,2005,,
J1748-2446Q,rhs+05 ,355.618777,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446R,rhs+05 ,198.864879,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446S,rhs+05 ,163.488451,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446T,rhs+05 ,141.145053,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446U,rhs+05 ,304.030841,0,fre08 ,0.16,0.37,3.01,2005,,
J1748-2446V,rhs+05 ,482.506719,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446W,rhs+05 ,237.801949,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446X,rhs+05 ,333.415576,0,fre08 ,0.16,0.37,3.01,2005,,
J1748-2446Y,rhs+05 ,488.243106,0,rhs+05 ,0.16,0.37,3.01,2005,,
J1748-2446Z,fre08 ,406.076529,0,fre08 ,0.16,0.37,3.01,2008,,
J1748-30,ncb+15 ,2.612776,5,ncb+15 ,-0.28,-0.21,-5.31,2015,,30.51
J1748-3009,kek+13 ,103.26020,3,kek+13 ,-0.10,-0.06,3.43,2013,,35.99
J1749+16,dsm+16 ,0.432591,0,dsm+16 ,2.63,4.54,3.31,2016,,
J1749-2347,hfs+04 ,1.14352903909,4,hfs+04 ,0.43,1.06,-4.11,2004,,20.84
J1749-2629,mhl+02 ,0.74884614571,7,mhl+02 ,0.04,0.18,4.31,2002,,12.29
B1746-30,jlm+92 ,1.63968389547,4,hlk+04 ,-0.28,-0.12,-4.18,1992,2041.94,659.21
J1749-4931,bbb+12 ,2.243046129,11,bbb+12 ,-0.38,-0.58,6.65,2012,,0.39
B1745-56,mlt+78 ,0.7505762250,4,nmc81 ,-0.61,-0.96,6.28,1978,18.60,
J1750+07,dsm+16 ,0.523887,0,dsm+16 ,1.09,1.95,5.49,2016,,
J1750-2043,lfl+06 ,0.17733492662,9,lfl+06 ,0.51,1.17,-0.25,2006,,18.75
J1750-2438,mhl+02 ,1.402929806380,18,mhl+02 ,0.27,0.96,-4.36,2002,,83.20
J1750-2444,hfs+04 ,1.11188112412,6,hfs+04 ,0.11,0.35,3.63,2004,,6.43
J1750-2536,kek+13 ,28.777763,7,kek+13 ,0.04,0.19,5.29,2013,,4.15
J1750-28,ncb+15 ,0.7689272522,5,ncb+15 ,-0.05,0.05,4.43,2015,,1.49
B1747-31,jlm+92 ,1.098462939960,5,hlk+04 ,-0.19,-0.15,4.17,1992,,32.02
J1750-3503,mld+96 ,1.46195922966,7,dsb+98 ,-0.42,-0.48,2.67,1996,995.85,27.13
J1750-3703A,dpm+01a ,8.96050624775,3,frb+08 ,-1.20,-1.55,-5.16,2001,,
J1750-3703B,frb+08 ,164.62146212170,16,frb+08 ,-1.20,-1.55,-5.16,2008,,
J1750-3703C,frb+08 ,37.63830424257,6,frb+08 ,-1.20,-1.55,-5.16,2008,,
J1750-3703D,frb+08 ,194.55492232569,15,frb+08 ,-1.20,-1.55,-5.16,2008,,
J1751-2516,mhl+02 ,2.5326985081,6,mhl+02 ,0.06,0.35,3.34,2002,,5.88
J1751-2857,sfl+05 ,255.43611088557,20,dcl+16 ,-0.02,0.01,7.41,2005,,0.07
J1751-3323,kbm+03 ,1.8240615852,2,ywml10 ,-0.84,-0.79,-5.72,2003,,386.90
B1747-46,wvl69 ,1.347069136036,19,smd93 ,-0.13,-0.19,7.80,1969,38.33,3.61
J1752+2359,fcwa95 ,2.44468374341,6,lwf+04 ,1.19,2.11,6.67,1995,32.13,
J1752-2410,hfs+04 ,5.23459646155,5,hfs+04 ,0.23,1.07,-3.86,2004,,72.38
B1749-28,tv68 ,1.77759563969,8,hlk+04 ,-0.00,0.01,8.30,1968,44.00,1.91
J1752-2821,mhl+02 ,1.56193989928,9,mhl+02 ,-0.09,0.12,3.02,2002,,9.61
J1753-12,bb10 ,2.466371,7,bb10 ,0.13,0.28,7.42,2010,,
J1753-1914,lfl+06 ,15.8843898595,3,lfl+06 ,0.17,0.47,5.63,2006,,1.10
J1753-2240,kkl+09 ,10.51106824831,8,kkl+09 ,0.09,0.35,5.29,2009,,1.56
B1750-24,cl86 ,1.89273345976,8,hlk+04 ,0.05,0.39,3.21,1986,,64.61
J1753-38,bb10 ,1.499691,0,kjv+10 ,-0.98,-1.18,-0.24,2010,,
J1754-2422,kjv+10 ,0.47841211342,10,bbb+12 ,0.12,0.96,-2.62,2010,,
J1754-3014,mll+06 ,0.75729440297,18,jcs+17 ,-0.10,-0.01,5.98,2006,,
J1754-3443,hfs+04 ,2.76479402991,7,hfs+04 ,-0.57,-0.50,1.43,2004,,24.77
J1754-3510,lfl+06 ,2.546447888115,17,lfl+06 ,-0.22,-0.19,5.95,2006,,3.10
B1753+52,dtws85 ,0.418165652037,5,hlk+04 ,2.06,3.57,7.85,1985,85.21,27.82
J1755-0903,bbb+12 ,5.24357335318,11,bbb+12 ,0.03,0.07,8.28,2012,,
J1755-1650,lfl+06 ,1.36287233980,4,lfl+06 ,0.35,0.92,3.99,2006,,2.77
J1755-2025,kel+09 ,3.10336201285,5,kel+09 ,0.67,2.36,-7.30,2009,,46.02
J1755-2521,mhl+02 ,0.8503633640,3,mhl+02 ,-0.01,0.26,5.07,2002,,8.28
J1755-25211,hfs+04 ,0.99550771827,6,hfs+04 ,-0.00,0.37,3.46,2004,,4.34
J1755-2534,hfs+04 ,4.28191025905,15,hfs+04 ,-0.02,0.31,4.11,2004,,3.29
J1755-2550,ncb+15 ,3.172628469219,17,nkt+18 ,-0.03,0.32,3.62,2015,,4.78
J1755-26,ncb+15 ,2.3208740364,8,ncb+15 ,-0.02,0.25,4.56,2015,,2.18
J1755-2725,mhl+02 ,3.8174542497,6,mhl+02 ,-0.05,0.11,5.80,2002,,3.65
J1755-33,kek+13 ,1.042246,5,kek+13 ,-1.01,-0.71,-5.53,2013,,39.65
J1755-3716,nbb+14 ,78.2101189443,6,nbb+14 ,-0.86,-0.87,0.41,2014,,35.46
J1756+1822,naf03 ,1.34408432377,12,bfrs18 ,8.63,16.25,-8.43,2003,437.50,8.75
J1756-2225,hfs+04 ,2.4692559061,5,hfs+04 ,0.10,0.57,3.75,2004,,5.74
J1756-2251,fsk+04 ,35.1350727145469,6,fsk+14 ,0.01,0.08,7.77,2004,,0.32
B1753-24,cl86 ,1.491468881773,3,hlk+04 ,0.00,0.34,4.68,1986,123.22,29.34
J1756-25,ncb+15 ,1.168243,3,ncb+15 ,-0.03,0.35,3.74,2015,,4.55
J1756-2619,kel+09 ,1.3802360573,3,kel+09 ,-0.08,0.32,3.40,2009,,2.61
J1757-15,bbb+12 ,5.574136,0,bbb+12 ,0.34,0.96,4.46,2012,,
J1757-16,fau04 ,2.215954,5,fau04 ,0.24,0.71,5.21,2004,,
J1757-1854,cck+18 ,46.517617017655,16,cck+18 ,0.98,3.38,-10.76,2018,,95.84
J1757-2223,mhl+02 ,5.39635989339,3,mhl+02 ,0.06,0.46,4.80,2002,,11.13
B1754-24,kom74 ,4.2715730980,8,ymw+17 ,0.00,0.29,5.39,1974,194.69,70.09
J1757-27,ncb+15 ,56.5380142043,4,ncb+15 ,-0.24,0.34,0.39,2015,,4.62
J1757-5322,eb01 ,112.74006440127,6,eb01b ,-0.23,-0.32,7.64,2001,,
J1758-1931,hfs+04 ,1.44393577539,14,hfs+04 ,0.19,0.75,4.03,2004,,7.83
J1758-2206,mhl+02 ,2.32407749833,8,mhl+02 ,0.24,1.92,-6.35,2002,,92.00
J1758-2540,mhl+02 ,0.47454913024,7,mhl+02 ,-0.05,0.25,5.10,2002,,7.56
J1758-2630,mhl+02 ,0.83132881720,12,mhl+02 ,-0.09,0.27,4.15,2002,,7.79
J1758-2846,lfl+06 ,1.30428025380,4,lfl+06 ,-0.08,0.05,6.49,2006,,0.81
J1758+3030,cnst96 ,1.05568104027,9,snt97 ,1.34,2.49,6.84,1996,95.75,
J1759-1029,bbb+12 ,0.39804752723,8,bbb+12 ,0.25,0.67,6.38,2012,,
J1759-1736,lfl+06 ,1.25242411862,11,lfl+06 ,0.26,0.97,3.68,2006,,2.90
J1759-1903,hfs+04 ,1.3670437715,3,hfs+04 ,0.86,3.84,-12.95,2004,,76.11
J1759-1940,mhl+02 ,3.92587396764,10,mhl+02 ,0.26,1.33,0.64,2002,,57.31
J1759-1956,mhl+02 ,0.35169302087,3,mhl+02 ,0.15,0.75,3.94,2002,,8.75
B1756-22,mlt+78 ,2.16931914297,4,hlk+04 ,0.05,0.42,5.27,1978,212.55,13.82
J1759-2302,mhl+02 ,1.23347493727,18,mhl+02 ,0.03,0.68,2.74,2002,,43.73
J1759-2307,mhl+02 ,1.78926509015,7,mhl+02 ,0.03,0.61,3.21,2002,,19.89
J1759-24,ncb+15 ,0.685994,6,ncb+15 ,-0.01,0.49,3.65,2015,,11.86
J1759-2549,mhl+02 ,1.04542524405,12,mhl+02 ,-0.09,0.36,3.60,2002,,14.46
J1759-2922,lml+98 ,1.740946263509,9,hlk+04 ,-0.12,0.05,6.08,1998,76.13,3.28
J1759-3107,hfs+04 ,0.92682415729,3,hfs+04 ,-0.20,-0.02,5.41,2004,,8.75
J1800-0125,crh+06a ,1.27683673064,5,crh+06a ,0.27,0.63,7.19,2006,,0.31
J1800-2114,hfs+04 ,0.55578018576,20,hfs+04 ,0.30,2.32,-7.42,2004,,77.67
B1757-23,moh83 ,0.970101,19,moh83 ,-0.01,0.38,4.96,1983,50.69,
J1800+50,slr+14 ,1.72901,5,slr+14 ,0.94,1.70,8.14,2014,91.20,
B1758-03,stwd85 ,1.08519817776,4,hlk+04 ,0.92,2.27,3.30,1985,562.06,23.14
J1801-0857A,lrfs11 ,139.360884720645,16,lrfs11 ,0.85,2.35,1.75,2011,,1.87
J1801-0857B,lrfs11 ,34.52849371687,4,lrfs11 ,0.85,2.35,1.75,2011,,0.62
J1801-0857C,lrfs11 ,267.4726751977,15,lrfs11 ,0.85,2.35,1.75,2011,,0.62
J1801-0857D,lrfs11 ,236.60059811703,17,lrfs11 ,0.85,2.36,1.75,2011,,
J1801-1417,fsk+04 ,275.85470899697,13,dcl+16 ,0.08,0.28,7.44,2004,,0.21
J1801-1855,mhl+02 ,0.39208025942,14,mhl+02 ,0.69,3.64,-11.25,2002,,189.88
J1801-1909,mhl+02 ,0.90193703186,4,mhl+02 ,0.15,0.88,3.68,2002,,12.01
J1801-2115,hfs+04 ,2.2825153353,18,hfs+04 ,0.20,2.17,-6.13,2004,,41.56
J1801-2154,hfs+04 ,2.66455687607,7,hfs+04 ,0.04,0.56,4.41,2004,,3.58
B1758-23,mdt85 ,2.40484572830,1,ywml10 ,-0.00,0.48,4.53,1985,,112.00
B1757-24,mdt85 ,8.0048537226,5,hlk+04 ,-0.06,0.35,4.72,1985,112.63,21.08
B1758-29,jlm+92 ,0.924292603138,5,hlk+04 ,-0.17,0.08,5.50,1992,,23.56
J1801-3210,kjv+10 ,134.16363857901,4,nbb+14 ,-0.49,-0.11,2.40,2010,,11.99
J1801-3458,lfl+06 ,0.72170711979,13,lfl+06 ,-0.62,-0.36,2.63,2006,,3.84
J1802+0128,ebvb01 ,1.80420219064,4,ebvb01 ,1.54,3.60,1.89,2001,,
J1802+03,dsm+13 ,1.505344,0,dsm+13 ,1.10,2.54,4.21,2013,,
J1802-05,bbb+12 ,0.594884,0,bbb+12 ,0.72,1.85,4.01,2012,,
J1802-1745,mhl+02 ,1.94298740055,8,mhl+02 ,0.27,1.32,2.03,2002,,9.18
J1802-2124,fsk+04 ,79.066424229950,2,fsk+10 ,0.01,0.11,7.75,2004,,0.44
J1802-2426,mhl+02 ,1.75744734512,9,mhl+02 ,-0.20,1.29,-4.39,2002,,100.78
J1802-3346,kjv+10 ,0.4063303019,5,bbb+12 ,-1.34,-0.55,-5.10,2010,,37.43
J1803-1616,hfs+04 ,1.86360004634,6,hfs+04 ,0.94,4.29,-10.05,2004,,58.13
J1803-1857,mhl+02 ,0.349120841186,15,mhl+02 ,0.27,2.01,-2.12,2002,,46.74
J1803-1920,hfs+04 ,2.25403455265,8,hfs+04 ,0.29,2.25,-3.84,2004,,42.53
B1800-21,cl86 ,7.481282565107,9,ywml10 ,0.01,0.64,4.15,1986,445.28,290.40
J1803-2149,pga+12 ,9.4044983174,2,pga+12 ,0.00,0.00,8.50,2012,,
