NAME_a,NAME_b,F0,ZZ,XX,YY,DISC_DATE,R_LUM,R_LUM14
J0201+7005,kkl+15 ,0.741188488948,5,kkl+15 ,0.16,0.90,9.23,2015,,
J0205+6449,mss+02 ,15.21701089718,2,lrc+09 ,0.17,2.42,10.58,2002,,0.46
B0203-40,mlt+78 ,1.585916702289,16,smd93 ,-1.18,-0.43,8.59,1978,17.46,1.27
J0211-8159,lml+98 ,0.9282183663,7,dsb+98 ,-0.86,-1.09,7.88,1998,13.86,0.69
J0212+5222,bck+13 ,2.656844899,8,bck+13 ,-0.23,1.08,9.60,2013,9.98,2.19
J0214+5222,slr+14 ,40.6912718043,4,slr+14 ,-0.17,0.80,9.32,2014,1.21,
J0215+6218,llc98 ,1.821892452777,9,hlk+04 ,0.04,1.47,9.85,1998,58.00,14.80
J0218+4232,nbf+95 ,430.461054545748,15,dcl+16 ,-0.95,1.95,10.78,1995,347.29,8.93
J0220+36,ttol16 ,0.971157,0,ttol16 ,-0.88,1.26,10.14,2016,,
J0229+20,dsm+13 ,1.239311,0,dsm+13 ,-1.24,0.80,9.98,2013,,
B0226+70,dtws85 ,0.681746765985,3,hlk+04 ,0.28,1.31,9.64,1985,7.43,0.93
J0241+16,dsm+13 ,0.647082,0,dsm+13 ,-0.59,0.27,9.18,2013,,
J0242+62,hrk+08 ,1.689189,0,hrk+08 ,0.01,0.15,8.66,2008,,
J0243+6027,hrk+08 ,0.678887,0,hrk+08 ,0.02,1.88,10.47,2008,,
J0244+14,dsm+13 ,0.469903,0,dsm+13 ,-1.81,0.74,10.51,2013,,
J0248+6021,tpc+11 ,4.6063,1,tpc+11 ,0.02,1.37,9.96,2011,,54.80
J0251+26,cck+16 ,393.700787,0,cck+16 ,-0.57,0.44,9.40,2016,,
B0254-53,lvw69b ,2.233596469470,15,smd93 ,-1.24,-0.86,8.50,1969,38.76,11.40
J0303+22,ttol16 ,0.828500,0,ttol16 ,-0.55,0.34,9.36,2016,,
B0301+19,fss73 ,0.7206768587625,14,hlk+04 ,-0.41,0.20,9.09,1973,14.79,8.27
J0308+74,hrm+11 ,316.455696,0,hrm+11 ,0.09,0.27,8.75,2011,0.04,
J0319+13,ttm+18 ,,0,,-0.17,0.05,8.74,2018,,
B0320+39,dth78 ,0.3298074763345,10,hlk+04 ,-0.30,0.54,9.53,1978,48.96,1.30
J0324+5239,bck+13 ,2.97070677878,3,bck+13 ,-0.14,1.31,10.37,2013,,1.00
J0325+67,slr+14 ,0.73274,4,slr+14 ,0.31,1.31,9.89,2014,97.96,
J0329+1654,lxf+05 ,1.1194201180723,13,lxf+05 ,-1.34,0.43,10.63,2005,3.93,
B0329+54,cp68 ,1.399541538720,6,hlk+04 ,-0.02,0.57,9.32,1968,1500.00,203.00
J0332+79,kkl+15 ,0.486332,15,kkl+15 ,0.34,0.76,9.14,2015,,
B0331+45,dtws85 ,3.7147027882896,17,hlk+04 ,-0.22,0.75,9.83,1985,14.23,1.90
J0337+1715,rsa+14 ,365.953363096,11,rsa+14 ,-0.65,0.20,9.61,2014,,
J0338+66,slr+14 ,0.56754,5,slr+14 ,0.30,1.26,9.93,2014,39.11,
J0340+4130,hrm+11 ,303.0909794113198,15,abb+18 ,-0.31,0.69,9.91,2011,5.12,0.79
J0341+5711,hrk+08 ,0.529661,0,hrk+08 ,0.05,1.18,10.15,2008,1502.89,
J0343-3000,bjd+06 ,0.385055657642,14,bjd+06 ,-1.26,-0.72,9.15,2006,,3.29
B0339+53,dth78 ,0.516935299969,4,hlk+04 ,-0.04,0.93,9.93,1978,10.82,0.88
J0348+0432,lbr+13 ,25.5606361937675,4,afw+13 ,-1.26,-0.10,10.18,2013,,
J0357+3205,aaa+09c ,2.251722292,3,rkp+11 ,-0.23,0.24,9.27,2009,,
B0353+52,dtws85 ,5.075366707885,7,hlk+04 ,-0.02,1.04,10.24,1985,49.45,7.83
J0358+42,slr+14 ,4.41545,10,slr+14 ,-0.22,0.60,9.84,2014,12.05,
B0355+54,mth72 ,6.3945110925,3,lwy+16 ,0.01,0.53,9.35,1972,46.00,23.00
J0358+66,slr+14 ,10.92815,8,slr+14 ,0.33,1.20,9.92,2014,18.93,
J0359+5414,cwp+17 ,12.5901403227,2,cwp+17 ,0.00,0.00,8.50,2017,,
B0403-76,mlt+78 ,1.83401186702,6,smd93 ,-0.59,-0.77,8.22,1978,19.38,3.88
B0402+61,dth78 ,1.681870311647,2,ywml10 ,0.22,1.04,9.94,1978,48.06,8.97
J0407+1607,lxf+05 ,38.90787282632,4,lxf+05 ,-0.58,0.07,9.71,2005,18.32,
J0408+551,hrk+08 ,0.544366,0,hrk+08 ,0.06,0.82,9.84,2008,,
J0408+552,hrk+08 ,1.326260,0,hrk+08 ,0.07,0.86,9.92,2008,,
J0410-31,bbj+11 ,0.53234,6,bbj+11 ,-0.30,-0.22,8.68,2011,,
J0413+58,hrk+08 ,1.455604,0,hrk+08 ,0.14,0.88,9.86,2008,,
B0410+69,dtws85 ,2.5594097227140,17,hlk+04 ,0.32,0.87,9.50,1985,12.01,0.94
J0417+35,cnst96 ,1.52812,8,cnst96 ,-0.27,0.42,9.89,1996,,
J0417+61,slr+14 ,2.27127,7,slr+14 ,0.24,1.04,10.01,2014,5.13,
J0418-4154,bcm+15 ,1.3207965590,1,bcm+15 ,-1.84,-1.64,9.22,2015,,
J0418+5732,vck+10 ,0.1101517115,7,rip+13 ,0.00,0.00,8.50,2010,,
J0419+44,hrk+08 ,0.805802,0,hrk+08 ,-0.13,0.64,10.06,2008,,
J0420-5022,hmz+04 ,0.2896029058,10,kv11 ,-0.00,-0.00,8.50,2004,,
J0421-0345,mld+96 ,0.462682676962,3,hlk+04 ,-1.25,-0.54,10.22,1996,29.04,2.42
J0421+32,ttol16 ,1.110494,0,ttol16 ,-0.40,0.45,10.31,2016,,
J0426+4933,hrk+08 ,1.084040535116,3,bck+13 ,0.01,0.78,10.12,2008,,0.62
J0435+2749,rtj+96 ,3.064857408039,13,bfrs18 ,-0.34,0.21,9.97,1996,4.62,0.55
J0437-4715,jlh+93 ,173.6879458121843,5,rhc+16 ,-0.10,-0.11,8.53,1993,13.52,3.93
J0447-04,kkl+15 ,0.456999,5,kkl+15 ,-0.33,-0.22,9.04,2015,,
J0448-2749,lml+98 ,2.220010446257,8,hlk+04 ,-1.11,-1.07,9.45,1998,6.55,6.55
J0449-7031,mfl+06 ,2.08696826121,7,mfl+06 ,-28.87,-39.53,-0.11,2006,,345.81
B0447-12,mlt+78 ,2.283031270545,4,hlk+04 ,-0.95,-0.77,9.78,1978,34.46,3.76
J0451-67,mfl+06 ,4.0740783,12,mfl+06 ,-29.42,-39.63,2.64,2006,,123.50
B0450-18,vlw69 ,1.821695294426,7,hlk+04 ,-0.22,-0.20,8.76,1969,13.12,2.69
J0453+1559,dsm+13 ,21.8427329517106,16,msf+15 ,-0.15,-0.04,9.00,2013,,
B0450+55,dth78 ,2.93487997706,8,hlk+04 ,0.15,0.54,9.54,1978,82.15,18.10
B0456-69,mmh+91 ,3.12087740359,12,ckm+01 ,-28.64,-39.83,0.55,1991,1482.05,
J0456-69,rcl+13 ,8.5416754,11,rcl+13 ,-28.74,-39.87,1.14,2013,,
J0456-7031,mfl+06 ,1.24979366967,16,mfl+06 ,-28.48,-39.83,-0.00,2006,,123.50
J0457+23,dsm+13 ,1.980590,0,dsm+13 ,-0.32,0.04,9.99,2013,,
J0457-6337,mfl+06 ,0.40047870082,4,mfl+06 ,-0.79,-1.06,8.43,2006,,0.32
J0457-69,rcl+13 ,4.3217007,14,rcl+13 ,-28.59,-39.89,0.64,2013,,
J0458-0505,lbr+13 ,0.53093220067,6,lbr+13 ,-0.89,-0.70,10.07,2013,,
J0458-67,rcl+13 ,0.8819120,14,rcl+13 ,-28.87,-39.99,2.40,2013,,
J0459-0210,mld+96 ,0.882553236380,4,hlk+04 ,-0.07,-0.05,8.63,1996,0.28,0.02
J0501+4516,gwk08 ,0.173547943,1,gwk+10 ,0.07,0.70,10.59,2008,,
B0458+46,dth78 ,1.566010110074,5,hlk+04 ,0.07,0.44,9.74,1978,18.82,4.36
B0502-66,mmh+91 ,1.44665164324,9,ckm+01 ,-28.86,-40.17,3.66,1991,2470.09,
J0509+08,dsm+13 ,243.902439,0,dsm+13 ,-0.25,-0.16,9.24,2013,3.20,0.51
J0510+38,slr+14 ,13.06090,8,slr+14 ,-0.03,0.32,10.03,2014,8.27,
J0511-6508,mfl+06 ,3.10499386985,8,mfl+06 ,-0.47,-0.67,8.44,2006,,0.40
J0514-4002A,fgri04 ,200.37770740529,11,frg07 ,-7.58,-9.76,13.15,2004,48.79,
J0514-4407,bcm+15 ,3.309067,0,bcm+15 ,-0.57,-0.76,8.78,2015,,
J0517+2212,cha03 ,4.497079963269,13,bfrs18 ,-0.03,-0.01,8.66,2003,0.18,0.01
J0519+44,hrk+08 ,1.941748,0,hrk+08 ,0.09,0.38,9.87,2008,,
J0519+54,slr+14 ,2.93950,11,slr+14 ,0.25,0.58,9.80,2014,7.99,
J0519-6932,mfl+06 ,3.79922415527,5,mfl+06 ,-27.25,-40.89,1.08,2006,,345.81
J0520-2553,lml+98 ,4.138350423366,11,hlk+04 ,-1.21,-1.53,9.86,1998,45.32,4.53
J0521-68,rcl+13 ,2.3072271,16,rcl+13 ,-27.26,-41.03,1.91,2013,,
J0522-6847,mfl+06 ,1.48250955451,7,mfl+06 ,-27.19,-41.05,1.74,2006,,469.32
B0523+11,mlt+78 ,2.8213711397405,10,hlk+04 ,-0.42,-0.39,10.25,1978,66.02,5.76
J0525-6607,mgi+79 ,0.124270,4,kkm+03 ,-0.00,-0.00,8.50,1979,,
B0525+21,sr68 ,0.266984253314,2,ywml10 ,-0.15,-0.08,9.71,1968,84.84,13.25
B0529-66,mhah83 ,1.02487897149,7,ckm+01 ,-26.90,-41.48,3.43,1983,,741.03
J0532-6639,mfl+06 ,1.55583240504,8,mfl+06 ,-26.69,-41.64,3.63,2006,,197.61
J0532-69,rcl+13 ,0.8701738,11,rcl+13 ,-26.46,-41.39,0.95,2013,,
J0533+0402,snt97 ,1.03840251113,3,snt97 ,-0.57,-0.72,10.47,1997,,3.30
J0533+67,rap+12 ,227.790433,0,rap+12 ,0.69,1.23,10.29,2012,,
B0531+21,sr68 ,29.946923,1,ljg+15 ,-0.20,-0.16,10.48,1968,2200.00,56.00
J0534-6703,mfl+06 ,0.55018664142,6,mfl+06 ,-26.54,-41.69,3.29,2006,,197.61
J0535-66,rcl+13 ,4.7500442,7,rcl+13 ,-26.48,-41.75,3.46,2013,,
